title,author,isbn,categoryName,price,stock,language,ribbon,description,publisher,coverImage,sortOrder
The Quran (Korean),Maulana Wahiduddin Khan,9788194366348,Quran,25,47,Korean,,Holy Quran,GOOD WORD BOOKS,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413591/rewaya_books/lksb1wckaxfquney0jyp.webp,34
The Noble Quran,Abdalhaqq and Aisha Bewley,9781842001288,Quran,160,38,English,,Holy Quran,TA HA PUBLISHERS LTD,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413592/rewaya_books/tnxicc52h6gsd6qvd86m.webp,35
The Quran (Medium Size),Abdullah Yusuf Ali,9789386589101,Quran,25,9,English,,Holy Quran,GOOD WORD BOOKS,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413593/rewaya_books/zhomxl4oozylv7tse47n.webp,36
The Majestic Quran English text,Musharraf Hussain,9781902248844,Quran,60,48,English,,Holy Quran,INVITATION PUBLISHING LTD,https://via.placeholder.com/400x600?text=The%20Majestic%20Quran%20English%20text,37
The Quran Medium (Tamil),Dr.Habibullah,9789389766509,Quran,30,47,Tamil,,Holy Quran,GOOD WORD BOOKS,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413595/rewaya_books/kcqzrvuo8zahsbuy3dgw.webp,38
The Quran (Gujarathi),Maulana Wahiduddin Khan,9789351791706,Quran,25,9,Gujrathi,,Holy Quran,GOOD WORD BOOKS,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413596/rewaya_books/zkphuurm2ijr6lhfhw8h.webp,39
Holy Quran PU Cover 14x20 Arabic (Premium),Dar Al Resalah,9786333570243,Quran,50,12,Arabic,,Holy Quran,GOOD WORD BOOKS,https://via.placeholder.com/400x600?text=Holy%20Quran%20PU%20Cover%2014x20%20Arabic%20(Premium),40
Holy Quran PU Cover 17x24  Arabic(PUGW),Masar Printing,9786333570250,Islamic,80,26,Arabic,,Holy Quran,GOOD WORD BOOKS,https://via.placeholder.com/400x600?text=Holy%20Quran%20PU%20Cover%2017x24%20%20Arabic(PUGW),41
Stories From The Quran Coloring Big Book,Saniyasnain Khan,9786333571295,Islamic,35,116,English,,Colourful ways to learn about the stories from the Quran. These colouring books feature an exciting but simple read-aloud text with large and beautiful illustrations which children will love to colour,GOOD WORD BOOKS,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413597/rewaya_books/biy0wcmio16fcwca9kwq.webp,42
The Brave Boy PB,Saniyasnain Khan,9788178980218,Islamic,10,5,English,,"Gift your child the greatest stories ever told with the Quran Stories for Little Hearts series, your essential tool for early Islamic education. The Holy Quran is a source rich in exciting stories, incredible adventures, profound teachings, and comforting prayers. This specially designed collection beautifully illustrates Allah's immense love for us and clearly explains what He requires from us as devoted believers and sincere servants of our Creator.",GOOD WORD BOOKS,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413598/rewaya_books/qtqahvwghunebbvjbvjt.webp,43
