title,author,isbn,categoryName,price,stock,language,ribbon,description,publisher,coverImage,sortOrder
The Majestic Quran English text,Musharraf Hussain,9781902248844,Quran,60.0,48,English,,Holy Quran,INVITATION PUBLISHING LTD,https://static.wixstatic.com/media/52b5c8_e83f201a97fa40aa83ad1de16d9a6436~mv2.jpg,37
The Quran Medium (Tamil),Dr.Habibullah,9789389766509,Quran,30.0,47,Tamil,,Holy Quran,GOOD WORD BOOKS,https://static.wixstatic.com/media/52b5c8_450be126c909425eb2a95a68ccf705d7~mv2.avif,38
The Quran (Gujarathi),Maulana Wahiduddin Khan,9789351791706,Quran,25.0,9,Gujrathi,,Holy Quran,GOOD WORD BOOKS,https://static.wixstatic.com/media/52b5c8_046aca9092b6443c8a79d08a385292e3~mv2.jpg,39
Holy Quran PU Cover 14x20 Arabic (Premium),Dar Al Resalah,9786333570243,Quran,50.0,12,Arabic,,Holy Quran,GOOD WORD BOOKS,,40
Holy Quran PU Cover 17x24  Arabic(PUGW),Masar Printing,9786333570250,Islamic,80.0,26,Arabic,,Holy Quran,GOOD WORD BOOKS,,41
Stories From The Quran Coloring Big Book,Saniyasnain Khan,9786333571295,Islamic,35.0,116,English,,Colourful ways to learn about the stories from the Quran. These colouring books feature an exciting but simple read-aloud text with large and beautiful illustrations which children will love to colour,GOOD WORD BOOKS,https://static.wixstatic.com/media/52b5c8_42f0b556db0c496688ece80a4f25732b~mv2.jpg,42
The Brave Boy PB,Saniyasnain Khan,9788178980218,Islamic,10.0,5,English,,"Gift your child the greatest stories ever told with the Quran Stories for Little Hearts series, your essential tool for early Islamic education. The Holy Quran is a source rich in exciting stories, incredible adventures, profound teachings, and comforting prayers. This specially designed collection beautifully illustrates Allah's immense love for us and clearly explains what He requires from us as devoted believers and sincere servants of our Creator.",GOOD WORD BOOKS,https://static.wixstatic.com/media/52b5c8_e6b636889a2b4612a50a62839f7d17ce~mv2.jpg,43
Tell Me About Creation - HB,Harun Yahya,9788178980256,Islamic,40.0,6,English,,"<p>The intention of this book is to enable us see the Miracle of Creation in things we often encounter in the world around us, but to which we give no special thought. Throughout our entire lives, most of us think only about our own materialistic needs and lead a life far removed from God, thus failing to see the evidence of Gods existence. For interested readers, this book will open up new horizons on the wonder of Gods Creation. Perusal and understanding this book will be important steps in arriving at an understanding of the Creator.</p>",GOOD WORD BOOKS,https://static.wixstatic.com/media/52b5c8_4a4e29acf5ef48d5947785ceb0355623~mv2.jpg,44
G/W Islamic Studies Text Book For Class 6,Saniyasnain Khan,9788178980522,Islamic,20.0,2,English,,"This course has been designed to present the young students comprehensive Islamic education, comprising general Islamic knowledge based on the Quran and Hadith. Instead of teaching moral principles directly, they are taught through themes chosen from the Quran and other Islamic sources. A major portion of the course comprises the text of the Quran, which is followed by exercises to test the depth of understanding of the students. Though basically intended for use as a school text book, it is also an ideal tool for home schooling involving both the parents and the children. In this way children will nt only learn the ethical values conveyed by the message of Islam but will also be stimulated to want to know more about Islamic teachings when they grow up.",GOOD WORD BOOKS,https://static.wixstatic.com/media/52b5c8_03f7d5d6d72a4503aad2a029e45e544a~mv2.jpg,45
Brief illustrated Guide To Understaning Islam,I.A. Ibrahim,9788178980720,Islamic,20.0,115,English,,This book is a brief guide to understanding Islam. It consists,GOOD WORD BOOKS,https://static.wixstatic.com/media/52b5c8_e10a1331e088435289a70a82f918c34c~mv2.jpg,46
